0,1,8071.3171
1,0,7288.9705
1,1,13135.7216
1,2,14949.806
2,1,14931.2148
1,3,25900.0
2,2,2424.9156
3,1,25320.0
1,4,32890.0
2,3,11390.0
3,2,11680.0
1,5,41860.0
2,4,17595.1
3,3,14086.793
4,2,18375.0
2,5,26101.0
3,4,14908.14
4,3,15770.03
5,2,27870.0
2,6,31598.0
3,5,20946.84
4,4,4941.67
5,3,22921.5
6,2,35094.0
2,7,40939.0
3,6,24954.3
4,5,11347.6
5,4,12415.7
6,3,28910.5
2,8,48810.0
3,7,33051.0
4,6,12606.7
5,5,12050.7
6,4,15698.7
7,3,38800.0
3,8,40797.0
4,7,20174.0
5,6,8667.9
6,5,10650.3
7,4,24300.0
4,8,25077.0
5,7,13368.9
6,6,0.0
7,5,17338.1
8,4,32048.0
4,9,33250.0
5,8,16562.2
6,7,3125.0113
7,6,5345.48
8,5,23112.0
4,10,39950.0
5,9,23664.0
6,8,3019.893
7,7,2863.417
8,6,8007.36
5,10,28972.0
6,9,9873.1
7,8,101.438
8,7,2855.6
9,6,16780.0
5,11,37080.0
6,10,13694.0
7,9,5683.7
8,8,-4737.0014
9,7,10680.0
10,6,23996.0
5,12,43770.0
6,11,21039.0
7,10,7871.0
8,9,-808.81
9,8,1951.7
10,7,16461.0
6,12,24930.0
7,11,13114.0
8,10,-781.5
9,9,873.7
10,8,5317.17
11,7,24190.0
6,13,32420.0
7,12,15862.0
8,11,3334.9
9,10,-1487.39
10,9,1751.44
11,8,12927.0
12,7,33040.0
6,14,37560.0
7,13,21770.0
8,12,3797.5
9,11,-17.4
10,10,-7041.9313
11,9,6848.0
12,8,17570.0
7,14,25250.0
8,13,8063.0
9,12,-47.6
10,11,-5731.78
11,10,-2184.2
12,9,10911.0
7,15,32040.0
8,14,9280.0
9,13,2793.0
10,12,-8024.715
11,11,-5182.4
12,10,-397.0
8,15,14610.0
9,14,3330.0
10,13,-5154.05
11,12,-9529.8536
12,11,-5473.8
13,10,6770.0
8,16,19070.0
9,15,7560.0
10,14,-5951.5
11,13,-8418.11
12,12,-13933.567
13,11,-56.9
14,10,10755.0
9,16,11270.0
10,15,-2108.0
11,14,-9357.8
12,13,-13192.83
13,12,-8916.2
14,11,3824.0
9,17,18270.0
10,16,430.0
11,15,-6862.0
12,14,-16214.582
13,13,-12210.31
14,12,-7145.0
9,18,24930.0
10,17,7070.0
11,16,-5517.0
12,15,-14586.65
13,14,-17196.66
14,13,-12384.3
15,12,-717.0
10,18,11240.0
11,17,-989.0
12,16,-15018.6
13,15,-16850.44
14,14,-21492.7968
15,13,-7159.0
16,12,4070.0
10,19,18060.0
11,18,2665.0
12,17,-10619.0
13,16,-18215.3
14,15,-21895.046
15,14,-16952.6
16,13,-3160.0
10,20,23100.0
11,19,8361.0
12,18,-8911.0
13,17,-15872.0
14,16,-24432.928
15,15,-20200.6
16,14,-14063.0
11,20,12650.0
12,19,-3217.0
13,18,-14954.0
14,17,-22949.01
15,16,-24440.88
16,15,-19044.6
17,14,-7070.0
11,21,19060.0
12,20,-955.0
13,19,-11060.0
14,18,-24080.91
15,17,-24305.22
16,16,-26015.7
17,15,-13330.0
18,14,-2200.2
11,22,24890.0
12,21,4894.0
13,20,-8530.0
14,19,-20493.0
15,18,-26337.5
16,17,-26585.99
17,16,-21003.4
18,15,-9384.1
12,22,8810.0
13,21,-2930.0
14,20,-19957.0
15,19,-24558.0
16,18,-29931.79
17,17,-24439.78
18,16,-18377.2
13,22,-130.0
14,21,-14360.0
15,20,-24857.7
16,19,-28846.36
17,18,-29013.54
18,17,-23047.4
19,16,-11169.0
13,23,5780.0
14,22,-12480.0
15,21,-20251.0
16,20,-30664.07
17,19,-29521.86
18,18,-30231.54
19,17,-17426.0
20,16,-6440.0
13,24,9950.0
14,23,-6580.0
15,22,-18990.0
16,21,-26896.36
17,20,-31761.53
18,19,-30947.66
19,18,-24800.2
20,17,-13162.0
13,25,16050.0
14,24,-4070.0
15,23,-14760.0
16,22,-26861.0
17,21,-29798.1
18,20,-34714.6
19,19,-28800.7
20,18,-22059.0
13,26,21400.0
14,25,1930.0
15,24,-12870.0
16,23,-23160.0
17,22,-29800.2
18,21,-33242.0
19,20,-33807.01
20,19,-27274.4
21,18,-14168.0
14,26,5470.0
15,25,-8110.0
16,24,-22870.0
17,23,-27560.0
18,22,-35039.896
19,21,-33535.2
20,20,-34846.27
21,19,-20523.2
22,18,-8850.0
14,27,13560.0
15,26,-5280.0
16,25,-19020.0
17,24,-27310.0
18,23,-33067.5
19,22,-35559.07
20,21,-35137.76
21,20,-28642.39
15,27,940.0
16,26,-17680.0
17,25,-24910.0
18,24,-34423.0
19,23,-35021.56
20,22,-38547.07
21,21,-32121.24
22,20,-25122.0
15,28,5770.0
16,27,-11970.0
17,26,-24170.0
18,25,-32010.0
19,24,-36593.0
20,23,-38408.6
21,22,-36187.9
22,21,-29321.0
16,28,-9120.0
17,27,-20230.0
18,26,-32673.1
19,25,-35810.0
20,24,-41468.5
21,23,-37816.1
22,22,-37548.5
23,21,-24120.0
16,29,-3250.0
17,28,-18360.0
18,27,-29770.6
19,26,-36608.0
20,25,-40812.0
21,24,-41067.8
22,23,-39005.7
23,22,-31880.0
24,21,-18970.0
17,29,-14710.0
18,28,-29720.0
19,27,-35418.0
20,26,-43135.1
21,25,-41757.1
22,24,-44123.4
23,23,-37073.0
24,22,-29474.0
18,29,-25910.0
19,28,-35696.0
20,27,-42340.1
21,26,-44332.1
22,25,-44932.4
23,24,-42002.1
24,23,-34558.0
19,29,-32124.0
20,28,-44214.0
